stops,pop,arrests,precinct,ethnicity,crime_type
75,1720,191,1,black,violent
36,1720,57,1,black,weapons
74,1720,599,1,black,property
17,1720,133,1,black,drug
37,1368,62,1,hispanic,violent
39,1368,27,1,hispanic,weapons
23,1368,149,1,hispanic,property
3,1368,57,1,hispanic,drug
26,23854,135,1,white,violent
32,23854,16,1,white,weapons
10,23854,107,1,white,property
13,23854,123,1,white,drug
73,2596,227,2,black,violent
37,2596,56,2,black,weapons
9,2596,246,2,black,property
13,2596,224,2,black,drug
77,6844,153,2,hispanic,violent
40,6844,64,2,hispanic,weapons
16,6844,78,2,hispanic,property
11,6844,262,2,hispanic,drug
18,9379,102,2,white,violent
14,9379,23,2,white,weapons
9,9379,137,2,white,property
30,9379,169,2,white,drug
293,2092,281,3,black,violent
245,2092,110,3,black,weapons
112,2092,384,3,black,property
102,2092,1413,3,black,drug
131,3633,123,3,hispanic,violent
149,3633,35,3,hispanic,weapons
99,3633,119,3,hispanic,property
62,3633,350,3,hispanic,drug
110,56304,205,3,white,violent
88,56304,39,3,white,weapons
116,56304,188,3,white,property
96,56304,806,3,white,drug
203,5699,93,4,black,violent
116,5699,33,4,black,weapons
24,5699,41,4,black,property
42,5699,304,4,black,drug
328,25489,212,4,hispanic,violent
324,25489,65,4,hispanic,weapons
88,25489,59,4,hispanic,property
157,25489,560,4,hispanic,drug
26,13001,42,4,white,violent
27,13001,27,4,white,weapons
30,13001,17,4,white,property
46,13001,360,4,white,drug
112,6265,256,5,black,violent
260,6265,96,5,black,weapons
63,6265,299,5,black,property
82,6265,1068,5,black,drug
170,20971,328,5,hispanic,violent
377,20971,157,5,hispanic,weapons
47,20971,171,5,hispanic,property
218,20971,1259,5,hispanic,drug
88,34674,194,5,white,violent
66,34674,43,5,white,weapons
35,34674,400,5,white,property
82,34674,1087,5,white,drug
182,2105,225,6,black,violent
178,2105,75,6,black,weapons
87,2105,201,6,black,property
188,2105,307,6,black,drug
90,6110,167,6,hispanic,violent
125,6110,73,6,hispanic,weapons
78,6110,117,6,hispanic,property
152,6110,214,6,hispanic,drug
37,15152,134,6,white,violent
54,15152,35,6,white,weapons
48,15152,89,6,white,property
78,15152,130,6,white,drug
143,6054,240,7,black,violent
70,6054,74,7,black,weapons
35,6054,543,7,black,property
53,6054,189,7,black,drug
34,9075,134,7,hispanic,violent
61,9075,45,7,hispanic,weapons
28,9075,264,7,hispanic,property
38,9075,127,7,hispanic,drug
48,71036,174,7,white,violent
46,71036,67,7,white,weapons
30,71036,210,7,white,property
63,71036,233,7,white,drug
294,3060,586,8,black,violent
452,3060,215,8,black,weapons
74,3060,2270,8,black,property
105,3060,2596,8,black,drug
143,5168,345,8,hispanic,violent
192,5168,168,8,hispanic,weapons
62,5168,1393,8,hispanic,property
38,5168,644,8,hispanic,drug
38,16222,218,8,white,violent
98,16222,66,8,white,weapons
53,16222,660,8,white,property
23,16222,547,8,white,drug
37,1747,86,9,black,violent
58,1747,42,9,black,weapons
34,1747,120,9,black,property
15,1747,72,9,black,drug
49,3919,83,9,hispanic,violent
25,3919,25,9,hispanic,weapons
9,3919,67,9,hispanic,property
8,3919,37,9,hispanic,drug
10,62949,106,9,white,violent
26,62949,31,9,white,weapons
8,62949,75,9,white,property
6,62949,35,9,white,drug
233,3104,312,10,black,violent
206,3104,98,10,black,weapons
75,3104,543,10,black,property
46,3104,514,10,black,drug
124,8307,212,10,hispanic,violent
228,8307,66,10,hispanic,weapons
58,8307,320,10,hispanic,property
43,8307,365,10,hispanic,drug
60,28617,193,10,white,violent
53,28617,47,10,white,weapons
22,28617,332,10,white,property
8,28617,317,10,white,drug
261,6613,212,11,black,violent
77,6613,53,11,black,weapons
44,6613,390,11,black,property
5,6613,84,11,black,drug
129,11310,166,11,hispanic,violent
44,11310,61,11,hispanic,weapons
44,11310,230,11,hispanic,property
22,11310,48,11,hispanic,drug
57,184345,348,11,white,violent
12,184345,62,11,white,weapons
136,184345,239,11,white,property
7,184345,81,11,white,drug
230,5209,168,12,black,violent
58,5209,30,12,black,weapons
61,5209,229,12,black,property
49,5209,161,12,black,drug
85,9158,84,12,hispanic,violent
36,9158,31,12,hispanic,weapons
110,9158,153,12,hispanic,property
38,9158,49,12,hispanic,drug
25,79761,89,12,white,violent
27,79761,28,12,white,weapons
32,79761,152,12,white,property
133,79761,42,12,white,drug
297,21822,441,13,black,violent
624,21822,151,13,black,weapons
54,21822,151,13,black,property
81,21822,668,13,black,drug
233,37631,446,13,hispanic,violent
654,37631,147,13,hispanic,weapons
69,37631,195,13,hispanic,property
123,37631,696,13,hispanic,drug
17,6239,41,13,white,violent
31,6239,6,13,white,weapons
14,6239,19,13,white,property
18,6239,172,13,white,drug
243,17774,269,14,black,violent
103,17774,97,14,black,weapons
72,17774,273,14,black,property
60,17774,653,14,black,drug
186,29423,282,14,hispanic,violent
270,29423,105,14,hispanic,weapons
65,29423,131,14,hispanic,property
67,29423,501,14,hispanic,drug
55,62204,64,14,white,violent
21,62204,31,14,white,weapons
12,62204,64,14,white,property
11,62204,117,14,white,drug
263,23191,461,15,black,violent
684,23191,246,15,black,weapons
190,23191,248,15,black,property
228,23191,1045,15,black,drug
166,17640,256,15,hispanic,violent
463,17640,97,15,hispanic,weapons
67,17640,69,15,hispanic,property
163,17640,676,15,hispanic,drug
8,1683,24,15,white,violent
74,1683,9,15,white,weapons
21,1683,10,15,white,property
46,1683,218,15,white,drug
333,14072,333,16,black,violent
178,14072,172,16,black,weapons
54,14072,178,16,black,property
94,14072,598,16,black,drug
61,9142,106,16,hispanic,violent
133,9142,35,16,hispanic,weapons
10,9142,32,16,hispanic,property
65,9142,198,16,hispanic,drug
13,19494,34,16,white,violent
13,19494,13,16,white,weapons
6,19494,13,16,white,property
5,19494,46,16,white,drug
223,29510,905,17,black,violent
446,29510,440,17,black,weapons
52,29510,542,17,black,property
104,29510,1640,17,black,drug
11,4560,115,17,hispanic,violent
48,4560,30,17,hispanic,weapons
7,4560,53,17,hispanic,property
9,4560,145,17,hispanic,drug
1,872,11,17,white,violent
36,872,4,17,white,weapons
2,872,28,17,white,property
7,872,67,17,white,drug
239,28599,612,18,black,violent
710,28599,301,18,black,weapons
92,28599,1535,18,black,property
85,28599,2655,18,black,drug
110,28898,377,18,hispanic,violent
823,28898,233,18,hispanic,weapons
79,28898,459,18,hispanic,property
106,28898,1704,18,hispanic,drug
5,1630,24,18,white,violent
61,1630,25,18,white,weapons
18,1630,112,18,white,property
31,1630,305,18,white,drug
271,57509,1018,19,black,violent
705,57509,501,19,black,weapons
48,57509,366,19,black,property
139,57509,1612,19,black,drug
22,5067,47,19,hispanic,violent
86,5067,49,19,hispanic,weapons
8,5067,39,19,hispanic,property
8,5067,107,19,hispanic,drug
5,454,11,19,white,violent
19,454,13,19,white,weapons
0,454,12,19,white,property
0,454,27,19,white,drug
131,15833,183,20,black,violent
237,15833,98,20,black,weapons
31,15833,511,20,black,property
71,15833,1210,20,black,drug
152,58197,592,20,hispanic,violent
553,58197,277,20,hispanic,weapons
87,58197,501,20,hispanic,property
171,58197,1910,20,hispanic,drug
14,7793,57,20,white,violent
72,7793,47,20,white,weapons
8,7793,417,20,white,property
39,7793,1242,20,white,drug
98,6963,123,21,black,violent
73,6963,59,21,black,weapons
28,6963,126,21,black,property
44,6963,557,21,black,drug
370,74064,652,21,hispanic,violent
475,74064,264,21,hispanic,weapons
164,74064,402,21,hispanic,property
258,74064,1448,21,hispanic,drug
33,29470,58,21,white,violent
41,29470,22,21,white,weapons
6,29470,72,21,white,property
23,29470,740,21,white,drug
533,24373,450,22,black,violent
992,24373,174,22,black,weapons
118,24373,189,22,black,property
194,24373,1057,22,black,drug
473,50209,552,22,hispanic,violent
1170,50209,226,22,hispanic,weapons
172,50209,251,22,hispanic,property
314,50209,1664,22,hispanic,drug
3,1544,65,22,white,violent
29,1544,12,22,white,weapons
15,1544,35,22,white,property
17,1544,154,22,white,drug
180,8726,385,23,black,violent
488,8726,211,23,black,weapons
86,8726,310,23,black,property
86,8726,692,23,black,drug
206,31394,454,23,hispanic,violent
727,31394,323,23,hispanic,weapons
192,31394,489,23,hispanic,property
230,31394,1653,23,hispanic,drug
19,704,35,23,white,violent
61,704,15,23,white,weapons
17,704,236,23,white,property
42,704,534,23,white,drug
370,31753,483,24,black,violent
1031,31753,280,24,black,weapons
129,31753,179,24,black,property
201,31753,686,24,black,drug
129,23908,289,24,hispanic,violent
587,23908,140,24,hispanic,weapons
91,23908,146,24,hispanic,property
66,23908,504,24,hispanic,drug
5,469,34,24,white,violent
7,469,12,24,white,weapons
6,469,18,24,white,property
0,469,34,24,white,drug
697,53765,756,25,black,violent
905,53765,243,25,black,weapons
84,53765,470,25,black,property
256,53765,1250,25,black,drug
358,86904,635,25,hispanic,violent
883,86904,285,25,hispanic,weapons
159,86904,606,25,hispanic,property
266,86904,1327,25,hispanic,drug
3,19290,81,25,white,violent
29,19290,36,25,white,weapons
20,19290,82,25,white,property
25,19290,209,25,white,drug
185,49265,1082,26,black,violent
558,49265,507,26,black,weapons
98,49265,450,26,black,property
45,49265,1708,26,black,drug
92,63458,883,26,hispanic,violent
358,63458,562,26,hispanic,weapons
139,63458,400,26,hispanic,property
47,63458,1329,26,hispanic,drug
3,3025,43,26,white,violent
10,3025,22,26,white,weapons
6,3025,48,26,white,property
0,3025,97,26,white,drug
237,17685,179,27,black,violent
250,17685,75,27,black,weapons
171,17685,154,27,black,property
53,17685,73,27,black,drug
172,13264,172,27,hispanic,violent
195,13264,72,27,hispanic,weapons
208,13264,130,27,hispanic,property
66,13264,48,27,hispanic,drug
128,65982,243,27,white,violent
106,65982,58,27,white,weapons
337,65982,95,27,white,property
82,65982,43,27,white,drug
110,46669,931,28,black,violent
222,46669,335,28,black,weapons
19,46669,588,28,black,property
63,46669,1612,28,black,drug
119,68975,898,28,hispanic,violent
235,68975,432,28,hispanic,weapons
31,68975,502,28,hispanic,property
94,68975,2135,28,hispanic,drug
0,2775,52,28,white,violent
7,2775,25,28,white,weapons
0,2775,57,28,white,property
2,2775,204,28,white,drug
615,76262,901,29,black,violent
1283,76262,458,29,black,weapons
317,76262,283,29,black,property
177,76262,1325,29,black,drug
117,22277,169,29,hispanic,violent
191,22277,39,29,hispanic,weapons
53,22277,89,29,hispanic,property
29,22277,204,29,hispanic,drug
9,23906,85,29,white,violent
38,23906,58,29,white,weapons
51,23906,45,29,white,property
8,23906,193,29,white,drug
279,17125,598,30,black,violent
468,17125,158,30,black,weapons
103,17125,399,30,black,property
96,17125,844,30,black,drug
222,38207,738,30,hispanic,violent
669,38207,267,30,hispanic,weapons
105,38207,536,30,hispanic,property
130,38207,1226,30,hispanic,drug
20,9927,55,30,white,violent
36,9927,17,30,white,weapons
10,9927,98,30,white,property
19,9927,246,30,white,drug
150,14356,220,31,black,violent
260,14356,114,31,black,weapons
113,14356,79,31,black,property
108,14356,84,31,black,drug
195,23814,247,31,hispanic,violent
250,23814,113,31,hispanic,weapons
142,23814,94,31,hispanic,property
194,23814,158,31,hispanic,drug
79,60595,161,31,white,violent
118,60595,90,31,white,weapons
132,60595,72,31,white,property
64,60595,75,31,white,drug
130,11593,144,32,black,violent
75,11593,48,32,black,weapons
100,11593,115,32,black,property
40,11593,82,32,black,drug
166,23255,179,32,hispanic,violent
132,23255,45,32,hispanic,weapons
155,23255,130,32,hispanic,property
118,23255,136,32,hispanic,drug
19,57097,96,32,white,violent
20,57097,6,32,white,weapons
54,57097,66,32,white,property
32,57097,59,32,white,drug
306,23281,398,33,black,violent
485,23281,217,33,black,weapons
208,23281,319,33,black,property
66,23281,646,33,black,drug
407,62266,633,33,hispanic,violent
805,62266,287,33,hispanic,weapons
320,62266,337,33,hispanic,property
160,62266,834,33,hispanic,drug
42,30979,99,33,white,violent
73,30979,40,33,white,weapons
81,30979,99,33,white,property
13,30979,209,33,white,drug
526,21349,361,34,black,violent
678,21349,177,34,black,weapons
179,21349,123,34,black,property
136,21349,483,34,black,drug
184,15774,244,34,hispanic,violent
356,15774,106,34,hispanic,weapons
137,15774,106,34,hispanic,property
68,15774,308,34,hispanic,drug
98,62100,285,34,white,violent
110,62100,92,34,white,weapons
243,62100,142,34,white,property
95,62100,282,34,white,drug
75,3070,108,35,black,violent
69,3070,39,35,black,weapons
51,3070,76,35,black,property
12,3070,112,35,black,drug
17,8068,49,35,hispanic,violent
41,8068,29,35,hispanic,weapons
42,8068,40,35,hispanic,property
19,8068,51,35,hispanic,drug
58,117834,329,35,white,violent
149,117834,95,35,white,weapons
144,117834,236,35,white,property
47,117834,385,35,white,drug
55,854,58,36,black,violent
19,854,8,36,black,weapons
34,854,44,36,black,property
10,854,7,36,black,drug
85,11314,86,36,hispanic,violent
77,11314,26,36,hispanic,weapons
102,11314,98,36,hispanic,property
34,11314,49,36,hispanic,drug
211,120622,393,36,white,violent
167,120622,112,36,white,weapons
300,120622,209,36,white,property
95,120622,136,36,white,drug
252,20160,211,37,black,violent
316,20160,88,37,black,weapons
157,20160,317,37,black,property
8,20160,45,37,black,drug
18,5327,36,37,hispanic,violent
21,5327,8,37,hispanic,weapons
19,5327,34,37,hispanic,property
0,5327,12,37,hispanic,drug
35,68107,131,37,white,violent
66,68107,45,37,white,weapons
84,68107,81,37,white,property
21,68107,70,37,white,drug
133,4924,94,38,black,violent
33,4924,24,38,black,weapons
145,4924,95,38,black,property
10,4924,48,38,black,drug
295,18004,214,38,hispanic,violent
79,18004,103,38,hispanic,weapons
395,18004,121,38,hispanic,property
55,18004,209,38,hispanic,drug
107,116325,165,38,white,violent
72,116325,59,38,white,weapons
448,116325,130,38,white,property
36,116325,126,38,white,drug
529,144170,2042,39,black,violent
1315,144170,839,39,black,weapons
279,144170,618,39,black,property
248,144170,2149,39,black,drug
8,10319,55,39,hispanic,violent
26,10319,17,39,hispanic,weapons
15,10319,18,39,hispanic,property
4,10319,96,39,hispanic,drug
1,5952,31,39,white,violent
13,5952,12,39,white,weapons
11,5952,17,39,white,property
15,5952,79,39,white,drug
15,1248,30,40,black,violent
6,1248,4,40,black,weapons
38,1248,41,40,black,property
1,1248,5,40,black,drug
139,7890,79,40,hispanic,violent
60,7890,36,40,hispanic,weapons
140,7890,71,40,hispanic,property
15,7890,64,40,hispanic,drug
147,91457,316,40,white,violent
62,91457,91,40,white,weapons
199,91457,100,40,white,property
37,91457,108,40,white,drug
397,11447,435,41,black,violent
682,11447,173,41,black,weapons
413,11447,154,41,black,property
62,11447,211,41,black,drug
46,5192,39,41,hispanic,violent
58,5192,18,41,hispanic,weapons
68,5192,6,41,hispanic,property
6,5192,15,41,hispanic,drug
12,41555,71,41,white,violent
23,41555,26,41,white,weapons
191,41555,25,41,white,property
21,41555,41,41,white,drug
551,71994,848,42,black,violent
979,71994,404,42,black,weapons
367,71994,445,42,black,property
282,71994,1036,42,black,drug
97,21635,147,42,hispanic,violent
136,21635,94,42,hispanic,weapons
70,21635,73,42,hispanic,property
31,21635,245,42,hispanic,drug
39,58886,159,42,white,violent
44,58886,48,42,white,weapons
66,58886,78,42,white,property
17,58886,170,42,white,drug
357,83609,1338,43,black,violent
861,83609,518,43,black,weapons
217,83609,312,43,black,property
129,83609,1291,43,black,drug
25,9859,125,43,hispanic,violent
25,9859,33,43,hispanic,weapons
5,9859,14,43,hispanic,property
15,9859,90,43,hispanic,drug
1,10258,63,43,white,violent
10,10258,15,43,white,weapons
0,10258,3,43,white,property
0,10258,34,43,white,drug
43,5276,62,44,black,violent
54,5276,34,44,black,weapons
41,5276,52,44,black,property
21,5276,81,44,black,drug
334,55628,677,44,hispanic,violent
655,55628,311,44,hispanic,weapons
187,55628,171,44,hispanic,property
177,55628,944,44,hispanic,drug
27,44260,168,44,white,violent
60,44260,82,44,white,weapons
44,44260,81,44,white,property
26,44260,257,44,white,drug
589,69295,1226,45,black,violent
1746,69295,573,45,black,weapons
190,69295,480,45,black,property
180,69295,2261,45,black,drug
41,14322,127,45,hispanic,violent
140,14322,45,45,hispanic,weapons
27,14322,59,45,hispanic,property
25,14322,245,45,hispanic,drug
0,598,11,45,white,violent
6,598,12,45,white,weapons
7,598,10,45,white,property
2,598,41,45,white,drug
505,79195,1460,46,black,violent
1520,79195,801,46,black,weapons
184,79195,524,46,black,property
144,79195,1651,46,black,drug
143,61163,594,46,hispanic,violent
607,61163,358,46,hispanic,weapons
125,61163,243,46,hispanic,property
108,61163,1054,46,hispanic,drug
14,19726,96,46,white,violent
50,19726,56,46,white,weapons
19,19726,51,46,white,property
24,19726,385,46,white,drug
157,10158,221,47,black,violent
206,10158,88,47,black,weapons
124,10158,69,47,black,property
35,10158,311,47,black,drug
60,13464,132,47,hispanic,violent
120,13464,46,47,hispanic,weapons
134,13464,55,47,hispanic,property
52,13464,241,47,hispanic,drug
27,23282,60,47,white,violent
15,23282,17,47,white,weapons
46,23282,40,47,white,property
25,23282,63,47,white,drug
213,77108,941,48,black,violent
855,77108,555,48,black,weapons
178,77108,312,48,black,property
249,77108,2135,48,black,drug
7,9121,27,48,hispanic,violent
33,9121,22,48,hispanic,weapons
12,9121,14,48,hispanic,property
16,9121,103,48,hispanic,drug
0,6280,4,48,white,violent
8,6280,8,48,white,weapons
3,6280,0,48,white,property
0,6280,32,48,white,drug
216,6399,186,49,black,violent
124,6399,77,49,black,weapons
123,6399,105,49,black,property
67,6399,163,49,black,drug
142,12358,206,49,hispanic,violent
96,12358,106,49,hispanic,weapons
95,12358,82,49,hispanic,property
67,12358,285,49,hispanic,drug
26,33960,101,49,white,violent
14,33960,24,49,white,weapons
62,33960,28,49,white,property
9,33960,86,49,white,drug
558,54204,1184,50,black,violent
1755,54204,754,50,black,weapons
170,54204,369,50,black,property
288,54204,2104,50,black,drug
52,12141,159,50,hispanic,violent
140,12141,107,50,hispanic,weapons
30,12141,41,50,hispanic,property
24,12141,265,50,hispanic,drug
9,611,29,50,white,violent
14,611,23,50,white,weapons
10,611,6,50,white,property
4,611,13,50,white,drug
218,61306,1065,51,black,violent
739,61306,523,51,black,weapons
57,61306,294,51,black,property
113,61306,1091,51,black,drug
15,8153,95,51,hispanic,violent
44,8153,62,51,hispanic,weapons
2,8153,18,51,hispanic,property
13,8153,168,51,hispanic,drug
1,321,42,51,white,violent
4,321,16,51,white,weapons
2,321,1,51,white,property
0,321,38,51,white,drug
106,25812,487,52,black,violent
630,25812,232,52,black,weapons
62,25812,125,52,black,property
120,25812,1000,52,black,drug
138,66472,680,52,hispanic,violent
689,66472,304,52,hispanic,weapons
179,66472,260,52,hispanic,property
112,66472,1631,52,hispanic,drug
15,5863,36,52,white,violent
43,5863,38,52,white,weapons
7,5863,38,52,white,property
15,5863,479,52,white,drug
352,8721,660,53,black,violent
243,8721,239,53,black,weapons
205,8721,884,53,black,property
118,8721,202,53,black,drug
42,5480,162,53,hispanic,violent
49,5480,62,53,hispanic,weapons
104,5480,167,53,hispanic,property
42,5480,77,53,hispanic,drug
15,21672,135,53,white,violent
17,21672,24,53,white,weapons
25,21672,106,53,white,property
4,21672,28,53,white,drug
263,35213,471,54,black,violent
429,35213,294,54,black,weapons
49,35213,479,54,black,property
114,35213,825,54,black,drug
39,9008,78,54,hispanic,violent
63,9008,46,54,hispanic,weapons
0,9008,89,54,hispanic,property
23,9008,99,54,hispanic,drug
5,7713,15,54,white,violent
9,7713,10,54,white,weapons
1,7713,13,54,white,property
0,7713,10,54,white,drug
131,10809,218,55,black,violent
179,10809,69,55,black,weapons
26,10809,149,55,black,property
13,10809,259,55,black,drug
172,56145,632,55,hispanic,violent
339,56145,197,55,hispanic,weapons
124,56145,200,55,hispanic,property
103,56145,784,55,hispanic,drug
11,36679,94,55,white,violent
28,36679,37,55,white,weapons
7,36679,38,55,white,property
7,36679,174,55,white,drug
35,543,76,56,black,violent
43,543,42,56,black,weapons
20,543,29,56,black,property
16,543,32,56,black,drug
45,10768,192,56,hispanic,violent
148,10768,96,56,hispanic,weapons
72,10768,77,56,hispanic,property
10,10768,110,56,hispanic,drug
31,34194,195,56,white,violent
90,34194,64,56,white,weapons
51,34194,78,56,white,property
11,34194,78,56,white,drug
228,8536,155,57,black,violent
230,8536,70,57,black,weapons
86,8536,97,57,black,property
77,8536,131,57,black,drug
40,6148,42,57,hispanic,violent
32,6148,18,57,hispanic,weapons
30,6148,32,57,hispanic,property
16,6148,35,57,hispanic,drug
44,29931,117,57,white,violent
37,29931,39,57,white,weapons
17,29931,44,57,white,property
19,29931,32,57,white,drug
569,31861,632,58,black,violent
1252,31861,254,58,black,weapons
299,31861,251,58,black,property
100,31861,624,58,black,drug
50,11642,127,58,hispanic,violent
150,11642,42,58,hispanic,weapons
87,11642,30,58,hispanic,property
24,11642,121,58,hispanic,drug
21,15239,25,58,white,violent
51,15239,10,58,white,weapons
54,15239,31,58,white,property
14,15239,90,58,white,drug
123,7333,262,59,black,violent
134,7333,87,59,black,weapons
114,7333,118,59,black,property
34,7333,153,59,black,drug
89,26551,224,59,hispanic,violent
187,26551,101,59,hispanic,weapons
226,26551,83,59,hispanic,property
45,26551,189,59,hispanic,drug
57,68244,139,59,white,violent
61,68244,45,59,white,weapons
67,68244,108,59,white,property
10,68244,191,59,white,drug
483,55388,1093,60,black,violent
1489,55388,474,60,black,weapons
350,55388,560,60,black,property
178,55388,2082,60,black,drug
66,21051,237,60,hispanic,violent
263,21051,101,60,hispanic,weapons
42,21051,95,60,hispanic,property
17,21051,249,60,hispanic,drug
4,6191,71,60,white,violent
24,6191,45,60,white,weapons
20,6191,36,60,white,property
5,6191,113,60,white,drug
106,612,44,61,black,violent
81,612,55,61,black,weapons
94,612,73,61,black,property
6,612,148,61,black,drug
135,20799,304,61,hispanic,violent
163,20799,122,61,hispanic,weapons
426,20799,228,61,hispanic,property
43,20799,296,61,hispanic,drug
105,119687,273,61,white,violent
163,119687,81,61,white,weapons
253,119687,183,61,white,property
50,119687,252,61,white,drug
266,86130,698,62,black,violent
732,86130,243,62,black,weapons
317,86130,235,62,black,property
85,86130,492,62,black,drug
13,17367,53,62,hispanic,violent
42,17367,12,62,hispanic,weapons
49,17367,45,62,hispanic,property
13,17367,24,62,hispanic,drug
14,61965,82,62,white,violent
31,61965,22,62,white,weapons
67,61965,65,62,white,property
6,61965,43,62,white,drug
194,21702,241,63,black,violent
300,21702,103,63,black,weapons
127,21702,112,63,black,property
54,21702,277,63,black,drug
62,18645,136,63,hispanic,violent
158,18645,51,63,hispanic,weapons
85,18645,85,63,hispanic,property
26,18645,97,63,hispanic,drug
57,59280,154,63,white,violent
74,59280,58,63,white,weapons
88,59280,65,63,white,property
23,59280,77,63,white,drug
238,15942,229,64,black,violent
203,15942,70,64,black,weapons
205,15942,153,64,black,property
171,15942,150,64,black,drug
33,18720,86,64,hispanic,violent
63,18720,21,64,hispanic,weapons
129,18720,53,64,hispanic,property
49,18720,51,64,hispanic,drug
65,78574,118,64,white,violent
51,78574,30,64,white,weapons
122,78574,66,64,white,property
22,78574,18,64,white,drug
97,2292,97,65,black,violent
108,2292,31,65,black,weapons
177,2292,108,65,black,property
4,2292,56,65,black,drug
239,29482,309,65,hispanic,violent
260,29482,105,65,hispanic,weapons
777,29482,167,65,hispanic,property
83,29482,220,65,hispanic,drug
74,43965,170,65,white,violent
73,43965,51,65,white,weapons
375,43965,110,65,white,property
23,43965,64,65,white,drug
166,9513,192,66,black,violent
211,9513,54,66,black,weapons
238,9513,147,66,black,property
164,9513,98,66,black,drug
224,32300,195,66,hispanic,violent
277,32300,61,66,hispanic,weapons
560,32300,215,66,hispanic,property
205,32300,83,66,hispanic,drug
105,129433,206,66,white,violent
136,129433,72,66,white,weapons
555,129433,157,66,white,property
100,129433,137,66,white,drug
83,13400,144,67,black,violent
92,13400,52,67,black,weapons
94,13400,251,67,black,property
31,13400,126,67,black,drug
437,46998,658,67,hispanic,violent
630,46998,214,67,hispanic,weapons
670,46998,484,67,hispanic,property
161,46998,701,67,hispanic,drug
33,23835,95,67,white,violent
38,23835,27,67,white,weapons
134,23835,123,67,white,property
27,23835,130,67,white,drug
64,2129,62,68,black,violent
32,2129,13,68,black,weapons
220,2129,41,68,black,property
7,2129,23,68,black,drug
24,7174,42,68,hispanic,violent
19,7174,8,68,hispanic,weapons
151,7174,29,68,hispanic,property
10,7174,19,68,hispanic,drug
48,84353,163,68,white,violent
71,84353,35,68,white,weapons
423,84353,91,68,white,property
40,84353,90,68,white,drug
169,1839,179,69,black,violent
47,1839,41,69,black,weapons
98,1839,77,69,black,property
40,1839,31,69,black,drug
91,10021,154,69,hispanic,violent
41,10021,37,69,hispanic,weapons
211,10021,64,69,hispanic,property
30,10021,21,69,hispanic,drug
156,79379,226,69,white,violent
44,79379,35,69,white,weapons
299,79379,131,69,white,property
41,79379,54,69,white,drug
283,100628,875,70,black,violent
1728,100628,394,70,black,weapons
277,100628,465,70,black,property
131,100628,1438,70,black,drug
4,4251,39,70,hispanic,violent
21,4251,22,70,hispanic,weapons
14,4251,109,70,hispanic,property
4,4251,57,70,hispanic,drug
0,2612,31,70,white,violent
10,2612,8,70,white,weapons
4,2612,60,70,white,property
0,2612,55,70,white,drug
307,16282,247,71,black,violent
522,16282,114,71,black,weapons
145,16282,141,71,black,property
60,16282,583,71,black,drug
196,39395,264,71,hispanic,violent
344,39395,113,71,hispanic,weapons
288,39395,146,71,hispanic,property
138,39395,326,71,hispanic,drug
199,100927,371,71,white,violent
259,100927,94,71,white,weapons
341,100927,102,71,white,property
123,100927,497,71,white,drug
127,20583,236,72,black,violent
332,20583,81,72,black,weapons
206,20583,99,72,black,property
37,20583,374,72,black,drug
444,60782,856,72,hispanic,violent
841,60782,287,72,hispanic,weapons
1054,60782,404,72,hispanic,property
128,60782,619,72,hispanic,drug
63,38275,128,72,white,violent
96,38275,50,72,white,weapons
197,38275,125,72,white,property
35,38275,135,72,white,drug
858,24964,1067,73,black,violent
982,24964,527,73,black,weapons
287,24964,517,73,black,property
365,24964,1357,73,black,drug
176,16754,282,73,hispanic,violent
160,16754,179,73,hispanic,weapons
112,16754,183,73,hispanic,property
73,16754,319,73,hispanic,drug
135,90725,449,73,white,violent
136,90725,137,73,white,weapons
216,90725,344,73,white,property
150,90725,497,73,white,drug
90,2479,101,74,black,violent
59,2479,33,74,black,weapons
33,2479,205,74,black,property
15,2479,60,74,black,drug
55,9446,111,74,hispanic,violent
60,9446,21,74,hispanic,weapons
72,9446,82,74,hispanic,property
47,9446,68,74,hispanic,drug
226,151366,500,74,white,violent
213,151366,195,74,white,weapons
288,151366,487,74,white,property
169,151366,311,74,white,drug
3,1028,5,75,black,violent
2,1028,2,75,black,weapons
2,1028,6,75,black,property
0,1028,3,75,black,drug
5,3233,21,75,hispanic,violent
6,3233,9,75,hispanic,weapons
7,3233,10,75,hispanic,property
2,3233,4,75,hispanic,drug
111,61692,181,75,white,violent
48,61692,38,75,white,weapons
115,61692,61,75,white,property
21,61692,32,75,white,drug
